user_id,has_purchase_last_year,has_purchase_last_qtr
9d415f62-5d38-436d-a443-336b2b759568,False,False
a71251a4-f215-4046-85fb-51206780e6c8,True,True
a8e69945-e3f7-4458-8ea9-883062d75c71,False,False
d2280282-85c3-40fe-93b8-990479b73fb3,False,False
19755aa9-50fc-44f2-80c0-e2eb4ecb4160,True,True
b632f58c-f467-4363-9b87-b01c237df412,False,False
ff30683f-bd0b-4ada-9cc8-547049fdc62c,False,False
3cc6932b-7cc1-4852-b6a8-3348607240eb,False,False
2d268310-e659-49d4-82b1-b18f344587d1,True,True
5c135263-b6ee-4cec-b431-82e90a062983,False,False
764755b5-74f5-4918-8490-c0514d18a125,True,True
2645241b-0680-4a3a-bc6b-5b5747f8892b,False,False
07346d15-dc75-4df7-8e16-6ec92be768a7,True,True
473afcf0-55f7-44c9-9869-89c51686ee6d,False,False
ab14ce43-6f28-4ae5-b5b4-8a423618f8a3,False,False
af3167e7-6d8f-44c8-bbbe-07fe22287092,True,True
7d32d356-02b2-43ae-8b88-a916be4ee9b8,False,False
6167934f-e287-4428-91aa-a903099fbc30,False,False
8c7b5668-8913-4279-a5cb-28e796f8ccfc,False,False
63429f14-2589-43ec-bda0-17422e5df000,False,False
3f73ec62-4c8e-4b2f-9749-a819fddcc092,False,False
babd7a99-7b6d-436c-ad32-0f7fa76b2d88,False,False
66495c32-5c6b-48b3-8ea9-65f9105e000a,False,False
4da865ae-36b4-487b-94c7-daf2f93c26de,False,False
5420a167-021e-47fa-913e-da24935d4ed9,False,False
c6f4715a-710e-404b-826f-696b3abef8a7,False,False
9ca12199-fcff-41d4-9b44-2ec302906244,False,False
21603cdd-390b-44d0-9dee-0daae8275a87,False,False
7438980d-2118-45ab-9d12-f817d38f20f3,False,False
f3e91d0c-732c-4e70-a429-b0b1ca3bb032,True,True
d7e7a40e-f790-4949-a4f4-6ea213514bf7,False,False
b35cbd71-9392-4c81-b87d-cfc960455826,True,True
4bfe7985-ea09-4856-b386-ca14d5651e26,False,False
c77b8d48-992c-4a90-acc3-20398e121b34,False,False
862b479a-1f11-46bf-969e-59602dc5bd75,False,False
ebe397bb-8fda-4d9c-93e4-24ec1ae747f2,True,True
4c1e02ee-cd7f-4641-856a-fb02bbbb57a4,True,True
32dc40c3-862f-4158-905b-44a46b605984,False,False
e3fad75a-6fb5-493f-9d56-493fb60857ab,False,False
b1953dfa-7bee-4d05-be79-ab124c1fb370,True,True
d988719d-540c-4120-bfc8-5c03784e3840,False,False
4273b6da-7450-4789-bf43-bd9c0e38ac96,False,False
e0e543b4-ec1b-44e7-ae95-e727b1af1fa1,True,True
ea40944e-5426-4a58-95be-89bf3eb7e3c5,False,False
c43137cb-18b5-41d5-94fb-c36409375c56,False,False
7c6b7877-fa6e-4502-8648-30b7698c2c89,False,False
9b9391de-5831-41ef-a30d-e3e28a40a857,False,False
e6526f94-1289-4cb8-b555-cbdb8018e328,False,False
aacb1e79-5eaf-46fc-9317-423186817464,False,False
8dc25809-34e3-4034-a7c4-22797dd732cf,True,True
9c9b895f-9fb4-4214-b2b7-57405f25e67a,False,False
7efa3148-2457-455f-a7f8-fb88a2f410f6,False,False
6ec97934-44f6-491a-b4d4-e517e0ebace3,False,False
19535322-cc36-42f3-b84a-71a0ba170575,False,False
885ed604-6c9c-4690-94a2-f78dd61f8348,False,False
aeeb8217-48e1-4c3e-8166-c07f6667c8c8,False,False
7e0bf500-cb7d-4b92-97a1-4965476d66b7,False,False
62106093-628e-4e9c-9d36-d22340ba5edc,False,False
675d354f-90f6-4532-9dd9-67418365fc85,True,True
069b6b93-0ad7-4913-8ef3-e8e495e80318,False,False
4e71821c-49f5-47c0-89eb-980882ce019b,True,True
2240346f-abf0-44e2-a193-af03772452e1,False,False
35cb568a-a5a1-4359-bce2-87d3f55253e6,False,False
5420aee3-1a36-495e-86f3-dd614d8da94c,False,False
ba1b09c5-a53d-4072-984d-58b791b7d8b9,False,False
aebf7d68-09ab-4d7f-92c5-0f242e8e7a5a,True,True
442903e4-2416-4aba-a15c-2febd0863fda,True,True
8ed12515-313a-478c-b20b-e6960699bc78,False,False
17929e24-792e-41f5-9976-97b660a85927,False,False
426bfb3a-91c2-431c-a7ce-f882513f8679,False,False
3f8e7974-b932-4e56-aaab-2a65d0bf5ea7,True,True
c1b758b0-f865-4adf-95ca-33c3913a0086,False,False
6e95d76a-d8dd-4603-95ac-94b6c15f99f4,False,False
f1d146b9-4973-416e-9f0d-6782c26e1af0,False,False
dece60bf-b046-492b-8bda-dea33a18bd5f,False,False
951294c9-03ac-442e-8ada-bd65906c0ad5,False,False
3b9129b2-57e0-408c-948f-d87c641b4b8a,True,True
79410397-43ba-47ca-8c19-b9af4ef05a3a,False,False
6d7e2db2-f369-454e-a4f6-605fefb268c0,False,False
bf9ea096-39c8-4bc3-9665-5601bda02cac,False,False
adb56688-4cf2-4ffd-b4bd-53eddafb3b3c,False,False
7f654f95-4b0f-4f10-a4ad-20e8b1ca26e1,False,False
dd83cccc-46fa-442b-9c22-45124f46ec08,True,True
c38f36d1-58e0-408a-b0a3-013a48586df7,False,False
15bac640-1608-49a7-8b3a-78d39cc5a779,False,False
48ddf6da-6b0b-41e3-9955-7a2076bfc532,True,True
742dc953-191d-4e7a-baad-af311a66fcbb,True,True
0d8f0fe1-404f-43ac-a796-6b7b67da1f5b,False,False
04243d54-312d-4c5f-b152-167465af73a7,False,False
e0035af8-fc79-4797-9ade-311f2f7489b0,True,True
352ae1e8-18e7-45a7-96e3-d720519dd699,False,False
9be2be8b-a17e-420b-8ea8-286d0404952f,False,False
54706e6f-638a-414c-a6da-9d8177160d1d,True,True
4c6e379f-cb75-477b-825a-f285c66a23de,False,False
f52cd4f7-9591-4e80-a6e6-7bc6f413149d,False,False
09254b4a-e83c-4d35-bea1-61b8be71531d,True,True
27d490d4-4249-4ba6-845a-cc9f1b4ad305,False,False
6943c6ed-a4ad-4193-b91f-830e4cb68716,False,False
8033147e-ea7d-4994-a63a-461655d7889f,False,False
05ed657a-fa4b-410d-b941-374d689b7514,False,False
48895c7f-be4d-44e1-a108-0317728561db,False,False
53c32ea1-a2a2-47c5-a298-2dd0067b110b,True,True
c1138f19-958f-4633-ba3b-4de6f8eebfea,False,False
d8aa749b-35ea-4f12-99cb-b2489c60675e,False,False
9f912299-adee-4b42-b1a0-30919669c452,True,True
dd2acd80-a48e-4feb-9ccf-93ae86ea876b,True,True
31aa1c97-cfe1-4738-8896-bd2994fa8f46,False,False
414964d5-83f9-4f92-9356-07520b0aeed1,False,False
c4cb7a25-fb7e-4da8-9079-99b8e493b5ef,False,False
4b4beb06-556c-49c7-9aee-034d44fac4b9,False,False
90736239-14c2-4a3d-8b33-a4702ef70058,False,False
c1dd4114-c104-4caf-8cff-803ca38299e5,True,True
a03f6e04-52ff-4aea-a36d-a848a272399d,False,False
2597d2d0-3533-4831-8e8b-57cbee71cb4d,True,True
c20b344d-d439-4275-a30d-011e281011bf,False,False
18183945-5a26-47a7-a2b6-e6a82f692883,False,False
9f713356-4b36-4c02-b5a9-7b73e26fd59d,False,False
da334c56-e4f1-4814-ad79-d25a2db7c359,False,False
64132c69-8554-4b12-9361-cd611ecf1a89,False,False
6d1e2d1c-a950-40a9-b938-9d851ccb37fc,False,False
decf76a3-15c5-4491-b5e5-9c1e01d34ebe,False,False
73f8858c-8a7a-460d-a766-0c52d571448d,False,False
9fc62f22-e2fb-45b4-abec-792e66ca6917,False,False
7f163976-6b06-4898-9e37-7921db340292,False,False
9f6ca3a2-96be-4363-a59f-2d2f2b699148,False,False
4040ed04-8f27-4e69-b64f-37fa5437151d,False,False
6fb4d439-37d1-420b-8a8d-0d2d45f1cd64,False,False
03854e35-1c46-442e-8b33-20fcbcd6d797,False,False
2a2b03bd-ea0b-499b-8718-1d892e24b046,False,False
d08ec140-0530-4f27-8dfb-cb6d4cc33e54,False,False
c8dd2ef6-46aa-4a65-9d8c-4ea3d0261a4c,False,False
0f302175-0ee4-4dd3-8b6c-e0372d58e6d9,True,True
fa72574f-8478-48a1-a767-c02147c2adcd,True,True
25d4ca16-75c6-4128-85e5-2faf84189826,False,False
c6994d84-2bff-4ece-8fc6-166aa7bfe4f2,False,False
1503e17f-4103-4d00-8c5d-bfce51758a0f,False,False
a69d890c-d9fb-4851-9951-abefa084280e,False,False
41bffb6a-a9fd-45cb-9a38-7d6090cb7e96,True,True
58158199-a25b-4ca6-bd83-2d6ece5d87b4,False,False
229d2679-b075-40aa-ae68-8da32e96b02d,True,True
43cb6bf3-5a48-4154-b3f1-638f98019f5c,False,False
eaaa3f22-a597-4880-925d-ce3f4a84d843,False,False
98779ba1-2108-4416-890c-a3995e23e573,False,False
2dbd3b96-71bb-4978-a21e-8d5d6c824b2b,False,False
c35cc1b7-3f1f-400e-a950-5877261b9a83,False,False
39b2b81e-e2d2-453f-a7bc-cc4672a6439f,False,False
90aade8c-7bca-434d-98dc-cb3a5496f4d9,False,False
84f8672b-3ccc-4c73-b60d-332b97a9f6e9,True,True
47a6d1d5-9a9d-4c38-a924-9aed8305f522,True,True
3b3414c0-3966-4a83-802b-1b6623279acb,False,False
dea05ec7-d1fb-467b-a3d5-b89d257308a0,False,False
42983e53-5f00-474b-9207-430dfdd13f74,False,False
234f9d59-3e0c-4c05-9e23-2c3e082a4553,False,False
5a979085-aef3-4ca4-9ddb-796e3dbda5d3,False,False
f5733611-278f-4193-896f-54507306f0c5,False,False
323dfbe8-ca2d-46e2-bca6-6eba870841d0,True,True
fe222c06-d738-473a-8116-34176b311e74,False,False
35fc4fab-54a3-4896-8521-d7b2bf1b36cc,True,True
e9e0a2e8-ef1d-48b6-af39-03a52ab38f1a,False,False
06806b6e-5bdc-4053-8981-fc9695f47b25,False,False
ee6eaf82-13e9-42ee-9e64-cc71d2e6a3e2,True,True
b78ff101-1cdd-4fe2-93aa-3e7d4fc156f8,True,True
1c1c84e3-754c-47c7-b007-9368973530f1,False,False
3f27c79a-ef54-4509-a7ba-4ee985d65ebe,False,False
81332bf3-23db-4619-af88-09d24d8bbeff,False,False
e91d5648-5c10-4d10-b253-a4b4d2e1f8f9,True,True
