event_id,user_id,session_id,order_id,time,product_name,product_price,product_qty
12a40256-4286-44a4-bc66-3276675fa782,a71251a4-f215-4046-85fb-51206780e6c8,f829d83e-fae0-4ce2-bd2a-9b9b2b5567a8,b9590f07-1ad6-4544-b944-8bd72905d665,2025-01-01 02:15:38,Video Doorbell Pro 2,249.99,1
6a0717fa-8add-4b58-a9f7-183403448005,a71251a4-f215-4046-85fb-51206780e6c8,f829d83e-fae0-4ce2-bd2a-9b9b2b5567a8,b9590f07-1ad6-4544-b944-8bd72905d665,2025-01-01 02:15:38,Ring Alarm 8-piece,249.99,2
85351eca-5ecb-443b-812c-451eb36d1e4f,2d268310-e659-49d4-82b1-b18f344587d1,349f6c93-1153-49d9-836e-4cbb3e5254f0,b96344a0-f907-4694-91f6-e995d32ee217,2025-01-01 02:26:58,Video Doorbell Pro 2,249.99,1
43e29734-5cb0-4f83-bdb5-68838a44d831,2d268310-e659-49d4-82b1-b18f344587d1,349f6c93-1153-49d9-836e-4cbb3e5254f0,b96344a0-f907-4694-91f6-e995d32ee217,2025-01-01 02:26:58,Indoor Cam (2nd Gen),59.99,1
37b47ddf-8c8e-4951-8da9-891ea73de26f,2d268310-e659-49d4-82b1-b18f344587d1,349f6c93-1153-49d9-836e-4cbb3e5254f0,b96344a0-f907-4694-91f6-e995d32ee217,2025-01-01 02:26:58,Ring Alarm 8-piece,249.99,1
2c68fd37-2e8a-4b5b-a361-d464c071a21b,764755b5-74f5-4918-8490-c0514d18a125,ad5dbca8-25da-446d-9b82-de88a5f298df,5d95006a-c41a-4988-b9e3-c9f08a53e566,2025-01-01 12:45:52,Stick Up Cam Battery,99.99,2
38fd9c54-bc02-4cd4-b2c9-d003da818106,764755b5-74f5-4918-8490-c0514d18a125,ad5dbca8-25da-446d-9b82-de88a5f298df,5d95006a-c41a-4988-b9e3-c9f08a53e566,2025-01-01 12:45:52,Ring Alarm 8-piece,249.99,2
c5ca7a9b-ad51-43b5-879d-706361eae2e6,764755b5-74f5-4918-8490-c0514d18a125,ad5dbca8-25da-446d-9b82-de88a5f298df,5d95006a-c41a-4988-b9e3-c9f08a53e566,2025-01-01 12:45:52,Indoor Cam (2nd Gen),59.99,1
e7f69793-2f3c-47c8-86fb-0723a3de44f7,19755aa9-50fc-44f2-80c0-e2eb4ecb4160,bf3c25fd-a623-4c83-b17c-17c2a46ddda1,7b3a89b0-d7cd-49a9-9fb1-b9f915fe950a,2025-01-01 09:38:39,Indoor Cam (2nd Gen),59.99,2
8dfcbbce-eed0-4ee5-89d6-ba9bd01e368f,19755aa9-50fc-44f2-80c0-e2eb4ecb4160,bf3c25fd-a623-4c83-b17c-17c2a46ddda1,7b3a89b0-d7cd-49a9-9fb1-b9f915fe950a,2025-01-01 09:38:39,Stick Up Cam Battery,99.99,1
3a8b290f-895e-4c47-8114-8d140fac23b0,b35cbd71-9392-4c81-b87d-cfc960455826,a8fa76a4-cff1-46b0-a21c-12633f7ee9f6,01baff8f-1972-4dbe-ae5d-e1b338c258db,2025-01-01 06:38:21,Ring Alarm 8-piece,249.99,1
905645d7-a446-4699-bb40-bb4c1ff07cfd,b35cbd71-9392-4c81-b87d-cfc960455826,a8fa76a4-cff1-46b0-a21c-12633f7ee9f6,01baff8f-1972-4dbe-ae5d-e1b338c258db,2025-01-01 06:38:21,Stick Up Cam Battery,99.99,1
176884fa-af1e-459a-9295-6d8fa22ce039,b35cbd71-9392-4c81-b87d-cfc960455826,a8fa76a4-cff1-46b0-a21c-12633f7ee9f6,01baff8f-1972-4dbe-ae5d-e1b338c258db,2025-01-01 06:38:21,Indoor Cam (2nd Gen),59.99,2
f047b979-9e41-4028-a4ad-df3297b4119e,07346d15-dc75-4df7-8e16-6ec92be768a7,ac0aac8c-a2ec-45e8-a8c2-e9fd9e2cf2a2,9b9ffb95-8e2d-4412-b24f-8940c8f14634,2025-01-01 14:21:21,Stick Up Cam Battery,99.99,1
12829be1-66df-4ee3-b8db-f7c556b7bca9,07346d15-dc75-4df7-8e16-6ec92be768a7,ac0aac8c-a2ec-45e8-a8c2-e9fd9e2cf2a2,9b9ffb95-8e2d-4412-b24f-8940c8f14634,2025-01-01 14:21:21,Ring Alarm 8-piece,249.99,1
e1acef67-d0d0-43aa-94b0-67a987e05e1b,07346d15-dc75-4df7-8e16-6ec92be768a7,ac0aac8c-a2ec-45e8-a8c2-e9fd9e2cf2a2,9b9ffb95-8e2d-4412-b24f-8940c8f14634,2025-01-01 14:21:21,Video Doorbell Pro 2,249.99,2
d6ebf960-3ed6-4616-911a-c266fa3f6594,ebe397bb-8fda-4d9c-93e4-24ec1ae747f2,c02ee4c3-7941-4ee2-8cde-659dc654d248,66e07554-c8fa-465c-97a4-fc9e0c717ce3,2025-01-01 15:22:44,Stick Up Cam Battery,99.99,1
04b39055-cb46-4a7d-8848-e45e928a6192,4c1e02ee-cd7f-4641-856a-fb02bbbb57a4,2401d18f-819d-4be5-94be-b58557a89cba,3980fdbe-5264-437b-baf1-5f073cca9ba9,2025-01-01 17:05:52,Indoor Cam (2nd Gen),59.99,2
2d51268f-c70d-4e8a-81a4-2e427995adc3,b1953dfa-7bee-4d05-be79-ab124c1fb370,57f917e9-a0b7-402c-bb4c-bb805e29ec90,13367dc1-7fdb-4d55-876d-1a9c9f8353cf,2025-01-01 22:57:19,Ring Alarm 8-piece,249.99,2
