event_id,user_id,session_id,time,domain,path,hash,query,previous_page,product_name,product_price,product_qty
983133f4-95f0-4eb2-9205-0062744110ab,a71251a4-f215-4046-85fb-51206780e6c8,f829d83e-fae0-4ce2-bd2a-9b9b2b5567a8,2025-01-01 02:15:33,ring.com,/products/ring-alarm-8-piece,,,/cart,Ring Alarm 8-piece,249.99,1
e891f501-72c1-46f9-b7da-817ea21e6f1f,2d268310-e659-49d4-82b1-b18f344587d1,349f6c93-1153-49d9-836e-4cbb3e5254f0,2025-01-01 02:26:53,ring.com,/products/stick-up-cam-battery,,,/checkout/thankyou,Stick Up Cam Battery,99.99,1
d5cd155d-8472-44ab-849f-9cddf57abadb,764755b5-74f5-4918-8490-c0514d18a125,ad5dbca8-25da-446d-9b82-de88a5f298df,2025-01-01 12:45:47,ring.com,/products/indoor-cam-(2nd-gen),,,/checkout/payment,Indoor Cam (2nd Gen),59.99,1
551dc9c8-77b1-42b0-9f97-8840933066c0,19755aa9-50fc-44f2-80c0-e2eb4ecb4160,bf3c25fd-a623-4c83-b17c-17c2a46ddda1,2025-01-01 09:38:34,ring.com,/products/indoor-cam-(2nd-gen),,,/cart,Indoor Cam (2nd Gen),59.99,1
91405cca-d3e3-4233-8f7c-8469931cb34e,b35cbd71-9392-4c81-b87d-cfc960455826,a8fa76a4-cff1-46b0-a21c-12633f7ee9f6,2025-01-01 06:38:16,ring.com,/products/stick-up-cam-battery,,,/checkout/thankyou,Stick Up Cam Battery,99.99,1
714b4c54-a7da-4d4b-919f-90d847b47922,4bfe7985-ea09-4856-b386-ca14d5651e26,f7bd6cc2-039d-40e3-9122-f298f57f188d,2025-01-01 18:21:59,ring.com,/products/ring-alarm-8-piece,,,/checkout/thankyou,Ring Alarm 8-piece,249.99,1
89dfc633-a15c-451e-9270-e8f2101aac6a,07346d15-dc75-4df7-8e16-6ec92be768a7,ac0aac8c-a2ec-45e8-a8c2-e9fd9e2cf2a2,2025-01-01 14:21:16,ring.com,/products/video-doorbell-pro-2,,,/cart,Video Doorbell Pro 2,249.99,1
08db8334-34ff-42cb-b313-42217a4b05b8,ebe397bb-8fda-4d9c-93e4-24ec1ae747f2,c02ee4c3-7941-4ee2-8cde-659dc654d248,2025-01-01 15:22:39,ring.com,/products/stick-up-cam-battery,,,/checkout/thankyou,Stick Up Cam Battery,99.99,1
fa26e7cc-9e0d-4343-8431-9103e9939f4b,4c1e02ee-cd7f-4641-856a-fb02bbbb57a4,2401d18f-819d-4be5-94be-b58557a89cba,2025-01-01 17:05:47,ring.com,/products/video-doorbell-pro-2,,,/cart,Video Doorbell Pro 2,249.99,1
9495313c-dd6b-4a6e-a117-86c4506510a0,e3fad75a-6fb5-493f-9d56-493fb60857ab,b84fb440-da77-44c3-b2be-98856f6e1559,2025-01-01 06:40:05,ring.com,/products/stick-up-cam-battery,,,/cart,Stick Up Cam Battery,99.99,1
685a6a0b-87c7-49bb-9c9b-c0c662e157d5,b1953dfa-7bee-4d05-be79-ab124c1fb370,57f917e9-a0b7-402c-bb4c-bb805e29ec90,2025-01-01 22:57:14,ring.com,/products/stick-up-cam-battery,,,/checkout/payment,Stick Up Cam Battery,99.99,1
4408c5ef-eb58-47a7-9862-39fddd04178e,b35cbd71-9392-4c81-b87d-cfc960455826,42503e87-1a33-403a-a241-a50a93be0ea6,2025-01-01 14:06:49,ring.com,/products/stick-up-cam-battery,,,/checkout/payment,Stick Up Cam Battery,99.99,1
