session_id,user_id,date,had_session,had_category_view,had_product_view,had_cart_view,had_checkout_payment,had_thank_you,time_to_cart_minutes,time_to_payment_minutes,time_to_order_minutes
a32f32ca-14ed-44d5-afb4-070d082e88e7,9d415f62-5d38-436d-a443-336b2b759568,2025-01-01,1,0,1,0,0,0,,,
f43c11f7-9553-4408-ae10-98fd285ba383,a71251a4-f215-4046-85fb-51206780e6c8,2025-01-01,1,0,1,0,0,0,,,
14d9b0a5-d40c-43aa-9f02-c4a24f3f0c3a,a8e69945-e3f7-4458-8ea9-883062d75c71,2025-01-01,1,0,1,0,0,0,,,
f829d83e-fae0-4ce2-bd2a-9b9b2b5567a8,a71251a4-f215-4046-85fb-51206780e6c8,2025-01-01,1,1,1,1,1,0,0.43,0.68,1.67
74c787bd-d697-47a2-9d17-ed47415fae0c,d2280282-85c3-40fe-93b8-990479b73fb3,2025-01-01,1,0,1,0,0,0,,,
2fe302a4-25f2-4b66-9834-7c9e137cfe77,a71251a4-f215-4046-85fb-51206780e6c8,2025-01-01,1,0,1,0,0,0,,,
95bb95ee-2a4a-4eee-bac1-c6fbdbf82eab,19755aa9-50fc-44f2-80c0-e2eb4ecb4160,2025-01-01,1,0,1,0,0,0,,,
5c7c20e5-5703-4f6f-b1ad-80a475412961,b632f58c-f467-4363-9b87-b01c237df412,2025-01-01,1,1,1,0,0,0,,,
e52bfbe0-9774-4642-a262-04170c77858a,ff30683f-bd0b-4ada-9cc8-547049fdc62c,2025-01-01,1,1,1,1,1,1,1.68,0.72,
2c6ee273-f443-4ec2-a378-b44f18a41a4e,3cc6932b-7cc1-4852-b6a8-3348607240eb,2025-01-01,1,0,1,0,0,1,,,
349f6c93-1153-49d9-836e-4cbb3e5254f0,2d268310-e659-49d4-82b1-b18f344587d1,2025-01-01,1,0,1,0,0,1,,,0.53
d22e6886-91cf-420f-9a25-5ed27be8f4ae,5c135263-b6ee-4cec-b431-82e90a062983,2025-01-01,1,0,1,0,0,0,,,
ad5dbca8-25da-446d-9b82-de88a5f298df,764755b5-74f5-4918-8490-c0514d18a125,2025-01-01,1,0,1,0,1,0,,0.5,0.67
ecdc10d1-ae30-4f8c-b889-764322b8e810,2645241b-0680-4a3a-bc6b-5b5747f8892b,2025-01-01,1,0,1,1,0,1,0.62,,
bf3c25fd-a623-4c83-b17c-17c2a46ddda1,19755aa9-50fc-44f2-80c0-e2eb4ecb4160,2025-01-01,1,1,1,1,1,1,1.83,0.98,2.0
e67bc5bd-8917-4073-8d65-26e993ae6803,07346d15-dc75-4df7-8e16-6ec92be768a7,2025-01-01,1,0,1,0,0,0,,,
e1f8bec4-fb08-417f-9257-32b551a89a46,3cc6932b-7cc1-4852-b6a8-3348607240eb,2025-01-01,1,0,1,1,0,1,0.48,,
69cd6033-10a8-4779-8c79-5e2fc4f2c4df,473afcf0-55f7-44c9-9869-89c51686ee6d,2025-01-01,1,0,1,0,0,0,,,
785474c7-cb29-4b3d-b868-e5ffb60905d1,07346d15-dc75-4df7-8e16-6ec92be768a7,2025-01-01,1,1,1,1,0,1,1.32,,
1968b385-918b-4b12-9ff1-10ec812e81f6,ab14ce43-6f28-4ae5-b5b4-8a423618f8a3,2025-01-01,1,0,1,0,0,1,,,
c449e67e-1e81-4f56-87f8-d5e49c8a5df6,ab14ce43-6f28-4ae5-b5b4-8a423618f8a3,2025-01-01,1,0,1,1,1,0,0.92,0.62,
c4ae7428-047a-4d7a-b898-be5ce83103ca,af3167e7-6d8f-44c8-bbbe-07fe22287092,2025-01-01,1,0,1,0,0,0,,,
1f51ba42-3c54-4a9c-83dd-4a9c09e4275e,7d32d356-02b2-43ae-8b88-a916be4ee9b8,2025-01-01,1,0,1,0,0,0,,,
616d4f90-0ddf-4908-bc52-71d1e0f9f90f,ab14ce43-6f28-4ae5-b5b4-8a423618f8a3,2025-01-01,1,0,1,0,0,0,,,
0d06d3e1-ebc9-415c-ac34-3ec0918dc879,6167934f-e287-4428-91aa-a903099fbc30,2025-01-01,1,1,1,1,1,1,0.47,1.13,
80d1fbba-e368-4959-be77-e34c4324258f,6167934f-e287-4428-91aa-a903099fbc30,2025-01-01,1,0,1,0,0,0,,,
de3b6da8-90e9-48b5-a0fe-1d4c4ba3e759,8c7b5668-8913-4279-a5cb-28e796f8ccfc,2025-01-01,1,0,1,0,0,0,,,
9a89092e-d12f-437c-a59b-1eddc290b216,63429f14-2589-43ec-bda0-17422e5df000,2025-01-01,1,0,1,0,0,0,,,
aad94dbc-b244-4348-b2f8-7a9cd976f6d6,3f73ec62-4c8e-4b2f-9749-a819fddcc092,2025-01-01,1,0,1,0,0,1,,,
e248f630-5bc0-43f1-bf80-63c05606935b,7d32d356-02b2-43ae-8b88-a916be4ee9b8,2025-01-01,1,0,1,0,1,0,,0.62,
da9bffaa-015d-4ec7-8346-161a1d253b00,babd7a99-7b6d-436c-ad32-0f7fa76b2d88,2025-01-01,1,0,1,0,0,0,,,
6bc99902-af19-4962-b4a4-f2aaeedf5fa2,66495c32-5c6b-48b3-8ea9-65f9105e000a,2025-01-01,1,0,1,1,0,1,0.87,,
7514af0a-11d1-4ce5-aec3-ff23aea00706,4da865ae-36b4-487b-94c7-daf2f93c26de,2025-01-01,1,0,1,0,0,0,,,
a5af2de9-b64c-4d21-bda9-0720f7ce22c4,5420a167-021e-47fa-913e-da24935d4ed9,2025-01-01,1,1,1,0,1,1,,1.13,
b5083da4-32ab-45e5-ad91-a213a5144b74,b632f58c-f467-4363-9b87-b01c237df412,2025-01-01,1,0,1,1,0,0,0.53,,
59cd71e8-4bcb-4587-bc44-089275706419,a71251a4-f215-4046-85fb-51206780e6c8,2025-01-01,1,0,1,0,0,0,,,
fa0ef97f-5c81-49fe-9de5-4d4f0dd397e6,c6f4715a-710e-404b-826f-696b3abef8a7,2025-01-01,1,0,1,0,0,0,,,
c1d905bc-9e1d-4984-bfb9-009f2cf6d8a5,9ca12199-fcff-41d4-9b44-2ec302906244,2025-01-01,1,0,1,0,0,0,,,
7351741c-b659-4c67-815d-70804df38daf,21603cdd-390b-44d0-9dee-0daae8275a87,2025-01-01,1,1,1,1,1,1,1.02,0.37,
e886c248-2d4a-4b9e-b921-e9970d8d74f2,7438980d-2118-45ab-9d12-f817d38f20f3,2025-01-01,1,0,1,0,0,0,,,
